Project Description,Project Definition,Activity Description,Comment
Gasum Loiste,Engineering,Engineering,"Meetings, Model connection, testing"
Gasum Loiste,Engineering,Engineering,Gasum data import SAF script
Gasum Loiste,Engineering,Engineering,"Debugging of optimizer, preparation of new script for 6 different files from SFTP"
Gasum Loiste,Engineering,Engineering,Loiste data
Gasum Loiste,Engineering,Engineering,"Documentation, Scripting for SAF export, meetings for FAT"
Gasum Loiste,Engineering,Engineering,"Export data, partial import to sandbox, preparation for FAT, FAT"
Gasum Loiste,Engineering,Engineering,"Gasum Meeting, Export script edit"
Gasum Loiste,Engineering,Engineering,Gasum internal meeting
Gasum Loiste,Engineering,Engineering,SAF SFTP script
Gasum Loiste,Engineering,Engineering,"Gasum meeting, SAF script update"
Gasum Loiste,Engineering,Engineering,"Meetings, backup of old Sandbox"
Gasum Loiste,Engineering,Engineering,SAT documentation
Gasum Loiste,Engineering,Engineering,Gasum Loiste SAT preparation document
Gasum Loiste,Engineering,Engineering,"Gasum meeting, SAT documentation preparation, new VM preparation"
Gasum Loiste,Engineering,Engineering,"SAT documentation, completing production VM"
Gasum Loiste,Engineering,Engineering,
Gasum Loiste,Engineering,Engineering,SAT
Gasum Loiste,Engineering,Engineering,Completion of documentation
Gasum Loiste,Engineering,Engineering,Gasum Meeting
Gasum Loiste,Engineering,Engineering,Test for Gasum sandbox update to 6.4
Gasum Loiste,Engineering,Engineering,Meeting for new Gasum project
Gasum Loiste,Engineering,Installation,Configuration of AAD SSO on OPX in Gasum Azure
Gasum Loiste,Engineering,Installation,AAD SSO - Trying to resolve problem. Install of Modelica and Optimax Docs.
Gasum Loiste,Engineering,Installation,Creating of VM and OPTIMAX installation
Gasum Loiste,Engineering,Installation,AAD SSO problem in Gasum Azure
Gasum Loiste,Engineering,Installation,Configuring AAD SSO on the test VM
Gasum Loiste,Engineering,Installation,SFTP configuration
Gasum Loiste,Engineering,Installation,Setting up AAD SSO on test VM with UPN
Gasum Loiste,Engineering,Meeting,Meetings with Gasum and FIABB
Gasum Loiste,Engineering,Meeting,Meeting for Gasum project
Gasum Loiste,Engineering,Meeting,Meetings for Gasum project
Gasum Loiste,Engineering,Meeting,Gasum Meeting
Gasum Loiste,Engineering,Meeting,Meeting with Gasum / FIABB
Gasum Loiste,Engineering,Meeting,Meeting with FIABB and Gasum
Gasum Loiste,Engineering,Meeting,Meeting with FIABB
Gasum Loiste,Engineering,Meeting,Kick-off meeting
Gasum Loiste,Engineering,Meeting,Meeting with Gasum and FIABB
Gasum Loiste,Engineering,Meeting,Meeting with Richard about Model
Gasum Loiste,Engineering,Meeting,Meeting with FIABB. Meeting with Joonas.
Gasum Loiste,Engineering,Meeting,Meeting with FIABB and then Joona
Gasum Loiste,Engineering,Meeting,Follow up meeting with FIABB. Meeting with EC team for DevOps.
Senatobia Extension OPTIMAX,Engineering,Engineering,Reading available documentation
Senatobia Extension OPTIMAX,Engineering,Engineering,internal kick off meeting
Senatobia Extension OPTIMAX,Engineering,Engineering,Documentation reading
Senatobia Extension OPTIMAX,Engineering,Engineering,Pre-internal KO meeting
Senatobia Extension OPTIMAX,Engineering,Engineering,"Presentation preparation for Senatobia, internal kick off"
Senatobia Extension OPTIMAX,Engineering,Engineering,Senatobia presentation preparation
Senatobia Extension OPTIMAX,Engineering,Engineering,KO Meeting
Senatobia Extension OPTIMAX,Engineering,Engineering,Senatobia weekly meeting
Senatobia Extension OPTIMAX,Engineering,Engineering,Senatobia meeting and Documentation reading
Senatobia Extension OPTIMAX,Engineering,Engineering,Senatobia meeting
Senatobia Extension OPTIMAX,Engineering,Engineering,"Meeting with USABB. Reading of documentation, FDS writing."
Senatobia Extension OPTIMAX,Engineering,Engineering,Senatobia weekly call
Senatobia Extension OPTIMAX,Engineering,Engineering,MODBUS connectivity with Weather station
